,Accuracy,Precision,Recall,F1
Logistic Regression,0.8322683706070287,0.8360142026809276,0.8322683706070287,0.8319251625966159
SVM,0.8562300319488818,0.8561337705183919,0.8562300319488818,0.8553149387764234
Naive Bayes,0.7795527156549521,0.7743931924505939,0.7795527156549521,0.7636967374343541
